Date,DFFR,EURINF,USAINF,EURLTINT,USALTINT,EURUNEMP,USAUNEMP
1/3/2000,5.43,1.9,2.7,5.7,6.66,9.4,4
1/4/2000,5.38,1.9,2.7,5.7,6.66,9.4,4
1/5/2000,5.41,1.9,2.7,5.7,6.66,9.4,4
1/6/2000,5.54,1.9,2.7,5.7,6.66,9.4,4
1/7/2000,5.61,1.9,2.7,5.7,6.66,9.4,4
1/10/2000,5.74,1.9,2.7,5.7,6.66,9.4,4
1/11/2000,5.63,1.9,2.7,5.7,6.66,9.4,4
1/12/2000,5.59,1.9,2.7,5.7,6.66,9.4,4
1/13/2000,5.58,1.9,2.7,5.7,6.66,9.4,4
1/14/2000,5.56,1.9,2.7,5.7,6.66,9.4,4
1/17/2000,5.56,1.9,2.7,5.7,6.66,9.4,4
1/18/2000,5.83,1.9,2.7,5.7,6.66,9.4,4
1/19/2000,5.47,1.9,2.7,5.7,6.66,9.4,4
1/20/2000,5.44,1.9,2.7,5.7,6.66,9.4,4
1/21/2000,5.36,1.9,2.7,5.7,6.66,9.4,4
1/24/2000,5.53,1.9,2.7,5.7,6.66,9.4,4
1/25/2000,5.46,1.9,2.7,5.7,6.66,9.4,4
1/26/2000,5.52,1.9,2.7,5.7,6.66,9.4,4
1/27/2000,5.61,1.9,2.7,5.7,6.66,9.4,4
1/28/2000,5.58,1.9,2.7,5.7,6.66,9.4,4
1/31/2000,5.87,1.9,2.7,5.7,6.66,9.4,4
2/1/2000,5.79,1.9,3.2,5.66,6.52,9.3,4
2/2/2000,5.64,1.9,3.2,5.66,6.52,9.3,4
2/3/2000,5.71,1.9,3.2,5.66,6.52,9.3,4
2/4/2000,5.7,1.9,3.2,5.66,6.52,9.3,4
2/7/2000,5.76,1.9,3.2,5.66,6.52,9.3,4
2/8/2000,5.67,1.9,3.2,5.66,6.52,9.3,4
2/9/2000,5.76,1.9,3.2,5.66,6.52,9.3,4
2/10/2000,5.79,1.9,3.2,5.66,6.52,9.3,4
2/11/2000,5.71,1.9,3.2,5.66,6.52,9.3,4
2/14/2000,5.79,1.9,3.2,5.66,6.52,9.3,4
2/15/2000,5.85,1.9,3.2,5.66,6.52,9.3,4
2/16/2000,5.67,1.9,3.2,5.66,6.52,9.3,4
2/17/2000,5.66,1.9,3.2,5.66,6.52,9.3,4
2/18/2000,5.7,1.9,3.2,5.66,6.52,9.3,4
2/21/2000,5.7,1.9,3.2,5.66,6.52,9.3,4
2/22/2000,5.81,1.9,3.2,5.66,6.52,9.3,4
2/23/2000,5.77,1.9,3.2,5.66,6.52,9.3,4
2/24/2000,5.76,1.9,3.2,5.66,6.52,9.3,4
2/25/2000,5.73,1.9,3.2,5.66,6.52,9.3,4
2/28/2000,5.81,1.9,3.2,5.66,6.52,9.3,4
2/29/2000,5.85,1.9,3.2,5.66,6.52,9.3,4
3/1/2000,5.78,2,3.8,5.49,6.26,9.2,4.1
3/2/2000,5.76,2,3.8,5.49,6.26,9.2,4.1
3/3/2000,5.72,2,3.8,5.49,6.26,9.2,4.1
3/6/2000,5.73,2,3.8,5.49,6.26,9.2,4.1
3/7/2000,5.68,2,3.8,5.49,6.26,9.2,4.1
3/8/2000,5.77,2,3.8,5.49,6.26,9.2,4.1
3/9/2000,5.79,2,3.8,5.49,6.26,9.2,4.1
3/10/2000,5.75,2,3.8,5.49,6.26,9.2,4.1
3/13/2000,5.81,2,3.8,5.49,6.26,9.2,4.1
3/14/2000,5.8,2,3.8,5.49,6.26,9.2,4.1
3/15/2000,5.9,2,3.8,5.49,6.26,9.2,4.1
