Date,EURINF,USAINF,EURLTINT,USALTINT,EURUNEMP,USAUNEMP
1/3/2000,1.9,2.7,5.7,6.66,9.4396,4
1/4/2000,1.9,2.7,5.7,6.66,9.4396,4
1/5/2000,1.9,2.7,5.7,6.66,9.4396,4
1/6/2000,1.9,2.7,5.7,6.66,9.4396,4
1/7/2000,1.9,2.7,5.7,6.66,9.4396,4
1/10/2000,1.9,2.7,5.7,6.66,9.4396,4
1/11/2000,1.9,2.7,5.7,6.66,9.4396,4
1/12/2000,1.9,2.7,5.7,6.66,9.4396,4
1/13/2000,1.9,2.7,5.7,6.66,9.4396,4
1/14/2000,1.9,2.7,5.7,6.66,9.4396,4
1/17/2000,1.9,2.7,5.7,6.66,9.4396,4
1/18/2000,1.9,2.7,5.7,6.66,9.4396,4
1/19/2000,1.9,2.7,5.7,6.66,9.4396,4
1/20/2000,1.9,2.7,5.7,6.66,9.4396,4
1/21/2000,1.9,2.7,5.7,6.66,9.4396,4
1/24/2000,1.9,2.7,5.7,6.66,9.4396,4
1/25/2000,1.9,2.7,5.7,6.66,9.4396,4
1/26/2000,1.9,2.7,5.7,6.66,9.4396,4
1/27/2000,1.9,2.7,5.7,6.66,9.4396,4
1/28/2000,1.9,2.7,5.7,6.66,9.4396,4
1/31/2000,1.9,2.7,5.7,6.66,9.4396,4
2/1/2000,1.9,3.2,5.66,6.52,9.3524,4
2/2/2000,1.9,3.2,5.66,6.52,9.3524,4
2/3/2000,1.9,3.2,5.66,6.52,9.3524,4
2/4/2000,1.9,3.2,5.66,6.52,9.3524,4
2/7/2000,1.9,3.2,5.66,6.52,9.3524,4
2/8/2000,1.9,3.2,5.66,6.52,9.3524,4
2/9/2000,1.9,3.2,5.66,6.52,9.3524,4
2/10/2000,1.9,3.2,5.66,6.52,9.3524,4
2/11/2000,1.9,3.2,5.66,6.52,9.3524,4
2/14/2000,1.9,3.2,5.66,6.52,9.3524,4
2/15/2000,1.9,3.2,5.66,6.52,9.3524,4
2/16/2000,1.9,3.2,5.66,6.52,9.3524,4
2/17/2000,1.9,3.2,5.66,6.52,9.3524,4
2/18/2000,1.9,3.2,5.66,6.52,9.3524,4
2/21/2000,1.9,3.2,5.66,6.52,9.3524,4
2/22/2000,1.9,3.2,5.66,6.52,9.3524,4
2/23/2000,1.9,3.2,5.66,6.52,9.3524,4
2/24/2000,1.9,3.2,5.66,6.52,9.3524,4
2/25/2000,1.9,3.2,5.66,6.52,9.3524,4
2/28/2000,1.9,3.2,5.66,6.52,9.3524,4
2/29/2000,1.9,3.2,5.66,6.52,9.3524,4
3/1/2000,2,3.8,5.49,6.26,9.2618,4.1
3/2/2000,2,3.8,5.49,6.26,9.2618,4.1
3/3/2000,2,3.8,5.49,6.26,9.2618,4.1
3/6/2000,2,3.8,5.49,6.26,9.2618,4.1
3/7/2000,2,3.8,5.49,6.26,9.2618,4.1
3/8/2000,2,3.8,5.49,6.26,9.2618,4.1
3/9/2000,2,3.8,5.49,6.26,9.2618,4.1
3/10/2000,2,3.8,5.49,6.26,9.2618,4.1
3/13/2000,2,3.8,5.49,6.26,9.2618,4.1
3/14/2000,2,3.8,5.49,6.26,9.2618,4.1
3/15/2000,2,3.8,5.49,6.26,9.2618,4.1
3/16/2000,2,3.8,5.49,6.26,9.2618,4.1
3/17/2000,2,3.8,5.49,6.26,9.2618,4.1
3/20/2000,2,3.8,5.49,6.26,9.2618,4.1
3/21/2000,2,3.8,5.49,6.26,9.2618,4.1
3/22/2000,2,3.8,5.49,6.26,9.2618,4.1
3/23/2000,2,3.8,5.49,6.26,9.2618,4.1
3/24/2000,2,3.8,5.49,6.26,9.2618,4.1
3/27/2000,2,3.8,5.49,6.26,9.2618,4.1
3/28/2000,2,3.8,5.49,6.26,9.2618,4.1
3/29/2000,2,3.8,5.49,6.26,9.2618,4.1
3/30/2000,2,3.8,5.49,6.26,9.2618,4.1
3/31/2000,2,3.8,5.49,6.26,9.2618,4.1
4/3/2000,1.7,3.1,5.41,5.99,9.1764,4
4/4/2000,1.7,3.1,5.41,5.99,9.1764,4
4/5/2000,1.7,3.1,5.41,5.99,9.1764,4
4/6/2000,1.7,3.1,5.41,5.99,9.1764,4
4/7/2000,1.7,3.1,5.41,5.99,9.1764,4
4/10/2000,1.7,3.1,5.41,5.99,9.1764,4
4/11/2000,1.7,3.1,5.41,5.99,9.1764,4
4/12/2000,1.7,3.1,5.41,5.99,9.1764,4
