Date,Close,Open,High,Low
1/3/2000,1.0265,1.0052,1.0282,1.005
1/4/2000,1.0312,1.0244,1.0347,1.0213
1/5/2000,1.0316,1.0295,1.0404,1.0282
1/6/2000,1.0324,1.0325,1.0419,1.0275
1/7/2000,1.0292,1.0327,1.0333,1.0252
1/10/2000,1.0257,1.0288,1.0303,1.0213
1/11/2000,1.0335,1.0259,1.0342,1.0241
1/12/2000,1.0312,1.0322,1.037,1.0258
1/13/2000,1.0254,1.0311,1.032,1.0237
1/14/2000,1.0128,1.0261,1.0273,1.0111
1/17/2000,1.0118,1.0128,1.0149,1.0069
1/18/2000,1.0131,1.0123,1.0143,1.0072
1/19/2000,1.0122,1.0139,1.0166,1.0086
1/20/2000,1.0175,1.0137,1.0189,1.0072
1/21/2000,1.0091,1.0173,1.0193,1.0049
1/24/2000,1.0078,1.0023,1.0078,0.9998
1/25/2000,1.0006,1.0076,1.0099,0.9989
1/26/2000,1.0012,1.0013,1.0057,0.9993
1/27/2000,0.9885,1.0019,1.003,0.9869
1/28/2000,0.975,0.988,0.9895,0.9738
1/31/2000,0.9695,0.9779,0.9829,0.967
2/1/2000,0.9724,0.9704,0.9783,0.9663
2/2/2000,0.9765,0.9717,0.9808,0.9689
2/3/2000,0.9903,0.9763,0.9949,0.9709
2/4/2000,0.9828,0.9909,0.9941,0.9748
2/7/2000,0.981,0.9836,0.9836,0.9754
2/8/2000,0.9858,0.9814,0.9916,0.9788
2/9/2000,0.994,0.9857,0.9966,0.9851
2/10/2000,0.9852,0.9942,0.996,0.983
2/11/2000,0.9869,0.9854,0.9879,0.9789
2/14/2000,0.9787,0.9863,0.9922,0.9775
2/15/2000,0.9814,0.9781,0.9863,0.9764
2/16/2000,0.9868,0.9811,0.9876,0.979
2/17/2000,0.9879,0.9865,0.9959,0.9838
2/18/2000,0.9865,0.988,0.9903,0.9807
2/21/2000,0.9874,0.9848,0.989,0.9843
2/22/2000,1.004,0.9875,1.008,0.9872
2/23/2000,1.003,1.0039,1.0091,1.0009
2/24/2000,0.9931,1.0036,1.0042,0.9889
2/25/2000,0.9745,0.9929,0.9929,0.9723
2/28/2000,0.9719,0.9748,0.9748,0.9392
2/29/2000,0.9647,0.9717,0.9865,0.9616
3/1/2000,0.9738,0.9647,0.977,0.9627
3/2/2000,0.9644,0.9734,0.9796,0.9614
3/3/2000,0.9599,0.9647,0.9679,0.9587
3/6/2000,0.9594,0.9576,0.9672,0.9557
3/7/2000,0.9598,0.959,0.9627,0.9526
3/8/2000,0.9608,0.9584,0.9634,0.9523
3/9/2000,0.9664,0.9607,0.9702,0.9595
3/10/2000,0.963,0.9667,0.9687,0.9597
3/13/2000,0.9647,0.9627,0.973,0.9617
3/14/2000,0.9683,0.9637,0.9684,0.9595
3/15/2000,0.9675,0.9685,0.9714,0.964
