Subset,Model,MAE,RMSE
Train,Dual-input LSTM,0.007749052,0.010368352
Train,Dual-input LSTM,0.007640246,0.010262723
Train,Dual-input LSTM,0.008312214,0.010969307
Train,Dual-input LSTM,0.007878259,0.010564968
Train,Dual-input LSTM,0.007897619,0.010557047
Train,Dual-input LSTM,0.007679789,0.010783606
Train,Dual-input LSTM,0.008104757,0.010603032
Train,Dual-input LSTM,0.008215149,0.010284681
Train,Dual-input LSTM,0.007963729,0.010871137
Train,Dual-input LSTM,0.00796783,0.010698601
Train,Dual-input LSTM,0.008099715,0.011030146
Train,Dual-input LSTM,0.009196104,0.010538811
Train,Dual-input LSTM,0.010248566,0.011374463
Train,Dual-input LSTM,0.008220748,0.019398635
Train,Dual-input LSTM,0.013970097,0.013318412
Train,Dual-input LSTM,0.008765243,0.016259607
Train,Dual-input LSTM,0.012204879,0.011973246
Train,Dual-input LSTM,0.008371498,0.017120479
Train,Dual-input LSTM,0.012810804,0.011172506
Train,Dual-input LSTM,0.014493739,0.018144185
Train,Dual-input LSTM,0.008589682,0.011216851
Train,Dual-input LSTM,0.008799156,0.011377114
Train,Dual-input LSTM,0.008055489,0.011557798
Train,Dual-input LSTM,0.014984445,0.011385872
Train,Dual-input LSTM,0.00847718,0.011097345
Train,Dual-input LSTM,0.008707417,0.01062224
Train,Dual-input LSTM,0.00844045,0.012669549
Train,Dual-input LSTM,0.009940738,0.019440523
Train,Dual-input LSTM,0.008317114,0.011807292
Train,Dual-input LSTM,0.009135352,0.011156864
Train,Dual-input LSTM,0.014460329,0.029236991
Train,Dual-input LSTM,0.008459032,0.013039424
Train,Dual-input LSTM,0.008147816,0.017913339
Train,Dual-input LSTM,0.022910862,0.016415732
Train,Dual-input LSTM,0.010260534,0.010809786
Train,Dual-input LSTM,0.012027726,0.015785314
Train,Dual-input LSTM,0.012575135,0.01780668
Train,Dual-input LSTM,0.009321807,0.012268298
Train,Dual-input LSTM,0.011896774,0.016900629
Train,Dual-input LSTM,0.014163738,0.026837187
Train,Dual-input LSTM,0.020328348,0.012790614
Train,Dual-input LSTM,0.007546965,0.010851476
Train,Dual-input LSTM,0.009902923,0.010163437
Train,Dual-input LSTM,0.007692421,0.011309667
